"date","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V2","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V3","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V4","V40","V41","V42","V43","V5","V6","V7","V8","V9"
1982-04-01,94,32.7,126.7,178.3,50.4,22.2,43,62.4,178,61.8,303.1,85.4,147.2,1250.2,257.9,17.3,34.9,310.2,58.2,55.8,59.1,41.7,173.1,93.6,26.3,119.9,104.2,42.2,15.6,31.6,34.4,123.7,63.9,36.4,48.7,85.1,916.2,408.7,65.8,91.8,53.6,211.3
1982-05-01,105.7,35.6,141.3,202.8,49.9,23.1,45.3,63.1,181.5,60.8,297.8,84.8,145.6,1300,257.4,18.1,34.6,310.1,62,58.4,59.2,43.1,179.5,95.3,27.1,122.5,110.2,42.1,15.8,31.5,34.4,123.9,64,36.2,48.9,85.1,931.2,404.9,65.8,102.6,55.4,223.8
1982-06-01,95.1,32.5,127.6,176.3,48,22.8,43.7,59.6,174.1,58.7,298,80.7,139.4,1234.2,261.2,18.1,34.6,313.9,53.8,53.7,59.8,40.3,167.3,85.2,24.3,109.6,96.7,38.5,15.2,29.6,33.5,116.8,62.7,35.7,47.1,82.8,887,401,62.3,105,48.4,215.7
1982-07-01,95.3,33.5,128.8,172.6,48.6,23.2,46.5,61.9,180.2,60.3,307.9,82.4,142.7,1265,266.1,18.9,35.2,320.2,57.9,56.9,59.8,40.9,174.5,91.6,25.6,117.2,104.6,38.9,15.2,35.2,33.4,122.7,65.6,34.6,47.5,82.1,921.3,414.4,68.2,106,52.1,226.3
1982-08-01,82.8,29.4,112.3,169.6,51.3,21.4,44.8,60.7,178.1,56.1,299.2,80.7,136.8,1217.6,247.2,19,33.8,300.1,59.2,56.7,62.2,42.1,178.1,85.2,23.5,108.7,92.5,39.5,14.5,34.7,33.2,122,62.6,32.5,49.3,81.8,883.2,403.8,66,96.9,54.2,217.1
1982-09-01,89.4,32.2,121.6,181.4,49.6,21.8,43.9,61.2,176.5,58.1,305.4,82.1,140.2,1244.9,262.4,18.4,35.4,316.2,57.1,58.9,63.6,42,179.6,89.5,24.3,113.8,98.3,41.7,15.1,34.2,34.5,125.5,64.4,33.9,50.7,84.6,917.9,411.8,62.3,97.5,53.6,213.4
1982-10-01,83.3,31.9,115.2,173.9,51.6,21,45.6,62.1,180.3,53.9,318,87.3,141.2,1264.2,285.4,20.9,38,344.3,66.9,59.6,64.1,46.1,190.5,93,25.8,118.7,102.8,46.2,16.3,35.9,36.7,135.2,66,37.7,54.1,91.7,983.3,430.1,66.2,99.3,58,223.5
1982-11-01,99.3,35,134.3,206.6,55.8,23.5,45.3,68.3,192.9,61.2,334.4,87.4,148.7,1372.6,291.9,22.4,38.2,352.5,78.1,63.2,82.5,46.5,223.8,107.9,29,136.9,114.6,43.5,17.5,38,40.7,139.7,65.3,40.3,57.3,97.7,1065.2,446.2,68.9,107.8,67.2,243.9
1982-12-01,142.9,51.7,194.6,346.6,69.9,31.4,55,104,260.3,75.7,389.6,97.2,172.9,1888.3,334.6,29.7,43.9,408.2,87.5,90.3,143,53.8,320.8,148.2,39.8,188,208.5,57.2,21.5,56.5,57.3,192.5,77.9,45.2,64.1,109.3,1427.3,521.3,90.8,155.5,146.3,392.6
1983-01-01,78.5,31.4,109.8,135.3,50.1,20.7,47.4,63.9,182.1,54.2,311.4,93,147.2,1214.5,270.7,22.9,36,329.6,58.8,55.5,64.3,43.8,178.6,81.6,25,106.6,81.5,43.7,15.6,34.1,35.8,129.3,65.1,36.9,57.7,94.6,920.3,420.3,58,95.1,66.6,219.7
1983-02-01,72.9,29.4,102.3,144.2,64.7,22.1,44,64.8,195.5,56.7,327.2,85.1,141.8,1240.6,278.4,20.8,35.4,334.6,59.7,60.2,64.6,39.3,184.5,73.5,23.4,96.9,86.6,44.3,16.3,34,36.4,130.9,62.3,38,50.2,88.2,921.7,428.8,63.7,105.1,59.2,228
1983-03-01,93.3,34.2,127.5,180.5,63.1,24.9,47.7,70,205.7,60.9,350.9,83.7,144.6,1375.7,303.8,23.5,39.1,366.4,71.6,67.6,73.9,43.4,213,100.6,28.2,128.8,108,48.3,16.8,36.7,39.1,140.9,65.7,37,55,92,1049.2,460,66,124.1,67.3,257.5
1983-04-01,111.2,39.4,150.6,199.4,51.1,24.5,52.9,65.3,193.7,63.5,323.4,79.7,143.2,1344.2,301.9,21.7,35.6,359.2,56.2,62.9,61.5,43.7,180.7,105.6,28.6,134.1,115.3,37,16,33.6,33.8,120.5,61.9,35.1,50.2,85.2,994.9,429,58.3,112.3,57.7,228.2
1983-05-01,112.5,41.4,153.9,200.5,54.8,25.4,55,68.9,204.1,64.5,316.6,81.1,145.6,1379.9,281.5,21.4,36.4,339.2,62,67,65.2,42.3,194.2,101.9,28.4,130.3,112.1,40.1,16.1,36.6,35,127.8,63.7,34.1,52.7,86.8,990.4,422.6,67.8,120.5,64.9,253.2
1983-06-01,103.6,37.1,140.7,175.2,52.3,24.6,56.2,65.7,198.8,63,325.4,79.7,142.8,1325.8,290.6,20.8,34.2,345.6,57,66.2,60.2,40.4,183.3,90.3,25.6,115.9,100.1,38.2,16.1,35.9,33.7,123.8,64.9,34.9,46.4,81.3,950,430.6,64.2,115,58.6,237.8
1983-07-01,97.4,34.1,131.5,181.4,57.7,23.9,54.6,66.9,203,61.9,323.1,84.7,146.6,1328.1,297.6,21.3,36.2,355.2,54.9,64,59.9,41.6,178.8,95.1,26.6,121.7,103.4,39,16.2,36.9,34.2,126.4,69.5,35.8,49.8,85.6,971,434.2,60.8,111.7,58.8,231.3
1983-08-01,96.3,34,130.2,179.7,61.5,25,54.6,70.4,211.5,64.7,338.1,85.2,149.9,1366.3,309.6,22.6,37.1,369.3,58.8,72.4,65.2,42.2,196.4,91.3,25.7,117,101.4,47.1,17.2,39.3,37.3,140.9,67.9,37.1,53.3,90.5,1015.5,448.2,64.8,117.2,64.8,246.9
1983-09-01,105.6,37.2,142.9,185,61,24.5,53.8,71.6,210.9,66.3,330.6,84.3,150.6,1370.8,310.2,22.4,37.4,370,57.4,69.7,66.4,42.5,193.6,94.7,26.5,121.3,105.2,46.1,16.9,38.3,37.2,138.5,67.5,36.8,54,90.8,1019.2,440.6,65.1,106.9,68.7,240.7
1983-10-01,97.9,37.3,135.2,194.4,56.9,24.6,55.6,74.9,212,63.7,351.1,80.1,143.8,1412.3,314.5,22.9,37,374.4,59.9,73.5,71.3,45,204.8,102.9,29.1,132,106.4,46.9,18.2,38.4,39.1,142.7,66,39.6,53.1,92.7,1053,462.1,66.3,114.4,84.1,264.8
1983-11-01,110.2,41,151.2,224.9,59.3,27.8,57.7,83.4,228.2,69.4,361.5,82.9,152.3,1541.6,336.8,24,38.4,399.1,64.3,80.3,82.8,45.8,227.4,109.7,30,139.6,123.1,48.9,19.4,40.7,42.6,151.7,67.2,42,53.9,95.8,1136.8,474.5,72.8,136.5,101.2,310.4
1983-12-01,155,59.9,214.8,384.7,70.2,36.8,71.4,122.8,301.2,86,430.9,89.6,175.5,2119.6,378.7,33.5,44.3,456.5,75.7,115.3,147.7,56.8,338.7,164.7,44.6,209.4,219.4,64.8,24.8,56.8,61.3,207.6,78.4,48.3,63.3,111.7,1543.3,566.1,96,189,192.3,477.3
1984-01-01,82.5,35.4,117.9,139,54.1,21.4,55.3,69,199.7,58.5,333.2,97.6,156.1,1299.1,302.5,22.2,35.7,360.4,65.9,69.2,69.4,47.2,204.6,93,28.6,121.6,106.2,45.9,17.5,33.8,38,135.2,69.2,38.6,54.2,92.7,1020.7,449.5,67.7,95.4,73.7,236.8
1984-02-01,83.6,33.6,117.2,159.5,72.3,22.8,52.7,71.8,219.7,60.3,343.3,90.3,150.6,1348.1,309,20.8,36,365.8,68.1,68.1,72.7,44.5,208.9,89.3,27.4,116.7,97.3,48.4,17.7,36,39.4,141.5,68.2,39.7,54.8,94.4,1024.5,455.9,69.7,105.8,69.6,245.2
1984-03-01,108.8,40.1,148.8,187.4,61,24.5,57.3,74.9,217.7,66.5,344.8,94.6,161.1,1433.6,331.5,21.9,37.4,390.8,79.4,72.7,75.6,46.1,227.8,109.7,31,140.7,115.5,49.1,18.8,36.2,40.9,144.9,70.7,41.4,56.4,97.8,1117.4,461.7,71.8,107.5,77.7,256.9
1984-04-01,99.9,39.4,139.2,181.8,53,23.1,50,70.2,196.3,68.7,345.9,88.9,157.6,1352.8,319.1,20.4,36.7,376.2,61,62.6,63.7,44.8,187.3,107.6,30.8,138.4,115,49.5,17.5,34.7,37.9,139.5,67.4,39.9,53,92.9,1049.3,458.2,60.8,90.4,68.5,219.6
1984-05-01,126.8,46.2,173,236,59.3,27.1,55.7,76.6,218.7,77.9,352,92.8,170.7,1519.4,331.3,20.6,38.4,390.3,73.3,84.1,66.6,45.3,224,120.5,34.2,154.7,132.2,54.9,20.4,37.7,41.3,154.5,71,43.7,57.3,101,1156.7,468.3,72.7,110,70,252.7
1984-06-01,99.4,38.6,138,190.4,54.8,24.3,53.2,68.7,201,68.3,348.9,87.3,155.5,1376.9,325.1,20.4,35,380.5,61.8,73.1,51.3,44.8,186.2,103.9,29.5,133.4,116.3,48.7,18.5,35.5,35.8,138.5,67.9,40.7,51.4,92.1,1047,461.6,67.2,102.6,60.5,230.3
1984-07-01,102.9,38.4,141.3,209.7,57.3,25.6,53,70.1,206,70.8,348.6,88.7,159.4,1421.9,317.3,19.3,35.3,371.9,62.1,68.6,55.8,42.5,186.6,103.6,28.7,132.3,125.5,48.4,18.1,36.6,36.4,139.5,67.4,40.5,52,92.5,1048.3,458.5,75.8,111,60.2,247
1984-08-01,105.5,40.2,145.7,193.6,58.7,25.5,54.6,74.6,213.4,73.2,374.6,90.3,163.6,1462.9,333.7,20.4,36,390.1,66.3,74.4,59.4,46.3,200.1,98.9,28.4,127.3,117.6,51.1,19.3,38.8,38.5,147.8,70.7,43,51.4,94.4,1077.2,491.6,79.7,105.2,70,255
1984-09-01,102.3,39.9,142.2,202.2,53.9,23.3,51.4,70.6,199.2,68,345.7,89.2,157.2,1397.5,317.7,20.5,34.6,372.7,61.7,61.8,55.3,46.2,178.8,90.8,26.8,117.6,118.1,50.3,17.3,35.9,36.1,139.7,68.1,39.9,50.5,90.4,1017.4,460,73.3,93.9,69.5,236.7
1984-10-01,119.2,45,164.2,214.6,64.2,26.1,55,80.5,225.8,76.7,373.5,96.7,173.4,1536,342.4,21.4,35.7,399.5,74.2,67.5,67.6,47.4,209.3,104.6,30.9,135.6,132.6,55.6,18.9,38.8,40.7,154,73.5,43.1,52.5,95.7,1126.6,494.4,78.7,103.3,81.5,263.6
1984-11-01,130.8,47,177.8,242.7,68.4,27.8,56.3,87.2,239.8,78.1,378.7,97.8,175.9,1640.7,361.6,23.5,37.8,423,78.7,77.1,79.6,50.8,235.5,117.2,33.1,150.3,141.8,60.7,20.3,42.1,44.9,168,75.2,45.1,55.5,100.6,1219.2,504.7,86,117.2,96.5,299.7
1984-12-01,169.2,62.5,231.6,415.5,79.9,35.4,69.5,121.3,306,88.9,432.6,104.6,193.5,2174.7,398.5,29.6,41.5,469.6,85.5,99.3,112.7,65.3,297.6,159.7,42.7,202.5,240.1,73.8,25.1,53.9,57.2,210.1,81.9,53.9,58.6,112.4,1532.3,579.8,98.4,170.4,179.4,448.2
1985-01-01,101.7,37.8,139.5,204.9,63.2,23.4,59,73.3,218.9,65.9,376.4,99.8,165.7,1471.3,342.3,23.8,38.1,404.1,64.7,65.3,64.2,52.2,194.2,98.7,29.4,128.1,116.6,53.2,18.8,36.3,39.9,148.3,74.7,43.7,52.5,96.3,1087.6,503.3,68.9,100.7,69.4,239
1985-02-01,92.9,34.2,127.1,179.6,66.4,21.8,53.6,71.1,213,62.5,352,87,149.5,1366.3,333.9,21.6,37.5,393,62.3,65.4,61.4,45.8,189.1,93.7,27.2,120.8,106.1,60.3,18.6,33.4,40.4,152.7,68.7,43.3,50.6,93.9,1055.7,466.5,68.9,92,69.8,230.7
1985-03-01,103.4,37.4,140.8,212.5,65,24.5,57.6,75.7,222.8,68.8,371.8,93.6,162.4,1488.3,354.9,23.2,38.8,416.9,67.1,73.7,63.9,49.4,204.7,110.3,30.1,140.4,119.8,52.7,20.6,36.5,41,150.8,72.9,46.7,51.3,98,1130.5,494,75.2,106.6,74.1,255.8
